open,high,low,close,volume,ma7,ma21,price_diff,volatility
20896.84,21526.28,20669.99,20995.44,4353.96603,19852.75142857143,17603.31,98.47999999999956,0.030200017338134252
20995.44,21256.0,20540.58,20896.92,2806.31327,20082.88714285714,17861.744285714285,-98.52000000000044,0.030366100324410505
20896.92,21334.85,20738.0,21095.28,4248.08387,20300.152857142857,18124.050000000003,198.36000000000058,0.030344919099752083
21089.96,21299.4,20650.0,20808.69,3907.42272,20472.022857142852,18362.508095238096,-286.59000000000015,0.031653893749740786
20804.52,21828.68,20516.19,21125.67,5156.4212,20753.91571428571,18611.858571428573,316.97999999999956,0.028320521389123304
21128.24,21337.4,20979.0,21132.03,4030.32493,20992.99857142857,18856.534285714286,6.360000000000582,0.028794324200999293
21133.69,21623.63,20710.0,21252.27,3758.38348,21043.757142857143,19110.22238095238,120.2400000000016,0.009499012010785629
21248.08,21354.69,21070.05,21199.76,1168.40209,21072.945714285714,19361.78142857143,-52.51000000000204,0.009601323762161763
21194.19,22051.12,21145.0,21843.5,3634.06807,21208.17142857143,19637.097619047618,643.7400000000016,0.014010311176380966
21844.19,21895.16,20750.0,21054.03,3363.06727,21202.278571428575,19877.13333333333,-789.4700000000012,0.021148054522907904
21056.63,21463.39,20947.11,21303.83,2215.17495,21273.012857142858,20117.634285714284,249.8000000000029,0.02062176806571847
21301.27,21680.0,20900.0,21557.95,3628.66867,21334.76714285714,20350.26714285714,254.11999999999898,0.020345674441590873
21558.0,22122.0,21450.0,21549.65,4574.3957,21394.42714285714,20549.700476190475,-8.299999999999272,0.02036291867240997
21549.65,21877.03,21385.99,21703.77,2639.13255,21458.92714285714,20706.30238095238,154.11999999999898,0.02040281834010107
21707.82,21840.23,21549.74,21602.94,1035.98851,21516.524285714288,20814.07380952381,-100.83000000000175,0.020519573941277715
21600.12,21693.0,21094.73,21276.26,1645.17302,21435.489999999998,20908.849523809524,-326.6800000000003,0.017315993615533227
21276.43,21578.66,20992.65,21229.51,2165.38151,21460.558571428573,20987.663333333334,-46.75,0.009822489807021204
21229.51,21731.07,21210.0,21675.25,2366.56202,21513.61857142857,21086.218095238095,445.7400000000016,0.01186467078052721
21675.36,21840.0,21156.78,21432.59,2120.23931,21495.71,21194.79761904762,-242.65999999999985,0.012030504811294994
21430.96,21473.19,20213.41,20312.05,2855.55881,21318.91,21235.445238095235,-1120.5400000000009,0.02286510469588526
20317.82,20477.86,20104.72,20270.05,2086.45328,21114.092857142856,21205.59238095238,-42.0,0.02208671841732779
20270.03,20508.55,20243.95,20465.19,732.72502,20951.557142857142,21180.34238095238,195.13999999999942,0.023238518052606637
20469.31,20694.44,20265.74,20411.25,1171.77258,20827.984285714283,21157.21523809524,-53.93999999999869,0.023030930066087214
20412.04,20512.69,19940.0,20309.78,2003.1752,20696.594285714287,21119.810476190476,-101.47000000000116,0.022984851041406504
20314.64,20778.32,20120.99,20684.31,2919.43634,20555.03142857143,21113.88761904762,374.5300000000025,0.022498371005748134
20682.42,22790.78,20572.0,22734.59,4753.55492,20741.03142857143,21190.502857142856,2050.279999999999,0.045496232292985446
22729.0,23653.78,22040.78,22052.41,5623.18215,20989.654285714285,21234.330476190476,-682.1800000000003,0.04102912996682473
22053.16,23421.55,21894.74,23013.61,4845.79932,21381.59142857143,21318.20380952381,961.2000000000007,0.0419456707108582
23012.04,23266.06,22861.19,23046.53,1195.72637,21750.354285714286,21406.145238095236,32.919999999998254,0.04236401485127575
23046.53,23549.0,22665.08,22736.62,2238.89825,22082.55,21448.67476190476,-309.90999999999985,0.04341939336489409
22736.23,23502.19,22352.05,23263.17,3129.31475,22504.462857142855,21553.871904761905,526.5499999999993,0.04241175701272338
23265.97,23645.0,22754.29,22977.09,3097.51041,22832.00285714286,21633.550952380952,-286.0799999999981,0.044193406175173346
22972.21,22995.48,22205.84,22818.63,2939.82574,22844.00857142857,21693.583333333332,-158.45999999999913,0.024879135661132642
22813.03,23155.0,22288.94,22597.45,2838.27676,22921.87142857143,21743.478571428575,-221.1800000000003,0.021665528827511625
22602.8,22758.99,21700.65,22018.0,3163.40102,22779.641428571427,21758.441904761905,-579.4500000000007,0.015278223442902587
22024.23,22050.34,21600.0,21995.9,1094.59857,22629.551428571427,21777.154285714285,-22.099999999998545,0.015102342447970714
21995.89,22493.56,21903.63,22349.0,1358.74095,22574.17714285714,21828.237142857142,353.09999999999854,0.01686834100204961
22351.42,22640.0,21923.0,22271.94,2535.22519,22432.57285714286,21877.876666666667,-77.06000000000131,0.01263333114350505
22274.68,22424.74,22008.12,22121.61,2264.71466,22310.36142857143,21899.131904761904,-150.3299999999981,0.012353025082816025
22121.61,22707.0,22008.0,22294.72,2581.29843,22235.517142857145,21940.185714285715,173.11000000000058,0.013263528686331414
22290.61,22438.23,22041.99,22239.99,2469.58614,22184.45142857143,22031.992380952383,-54.72999999999956,0.01295488259494914
22239.66,22250.0,20975.0,21224.64,3989.13249,22071.114285714284,22077.449047619048,-1015.3500000000022,0.019529372055330438
21224.64,21300.35,21027.7,21214.99,1191.93042,21959.555714285718,22113.15380952381,-9.649999999997817,0.01954947939588449
21210.31,21483.0,21052.96,21244.31,1856.89702,21801.742857142857,22152.823333333334,29.31999999999971,0.01760840960475911
21244.51,21329.62,21007.96,21038.64,2055.77746,21625.557142857146,22187.530952380952,-205.6700000000019,0.01755169339764493
21043.74,21250.61,20773.01,21091.84,3494.20664,21478.447142857145,22206.937142857143,53.20000000000073,0.018003699573469728
21091.84,21173.84,20513.23,20624.41,2559.84725,21239.83142857143,22106.45238095238,-467.4300000000003,0.017548819327058113
20628.79,20710.06,19020.27,19377.36,4750.3091,20830.884285714284,21979.069047619047,-1247.0499999999993,0.02499709673371456
19377.78,19379.84,18603.3,19007.07,5061.09271,20514.088571428572,21788.28142857143,-370.2900000000009,0.02217149504865931
19016.27,19623.36,18603.57,19070.66,3597.81908,20207.755714285715,21598.954285714284,63.590000000000146,0.02264066034107731
19068.43,20778.4,18927.12,20679.99,4465.40523,20127.13857142857,21501.019523809526,1609.3300000000017,0.044122870929599614
20672.63,22947.57,20347.97,22399.78,7857.07619,20321.58714285714,21459.905714285716,1719.7899999999972,0.05451746874134869
22402.03,24586.23,22308.71,22985.84,7990.78918,20592.158571428572,21460.32238095238,586.0600000000013,0.054691814294439596
22993.36,23860.76,22645.02,23026.8,5120.11961,20935.35714285714,21470.23523809524,40.95999999999913,0.05279708824988504
23028.79,23818.36,22829.69,23665.73,3615.5365,21547.981428571427,21521.105714285713,638.9300000000003,0.04025245788103324
23663.25,26171.0,23559.63,25789.77,6042.8164,22516.93857142857,21700.713809523808,2124.040000000001,0.03929705030549804
25786.41,26145.14,25111.51,25373.59,3672.35675,23417.35714285714,21861.55619047619,-416.1800000000003,0.04324633760861349
25371.26,26850.0,25250.0,26474.44,3940.89165,24245.135714285716,22058.005714285715,1100.8499999999985,0.03920028673895305
26468.5,26906.96,25605.89,26082.53,4288.89009,24771.242857142857,22239.462380952384,-391.90999999999985,0.037223567506769834
26067.81,26558.02,25700.0,26324.74,4051.90711,25248.22857142857,22439.61142857143,242.21000000000276,0.03749651007332651
26324.72,26850.0,24670.6,25342.45,2977.15333,25579.035714285714,22584.74142857143,-982.2900000000009,0.04317003399290955
25351.14,26599.99,25132.25,26260.2,2056.22677,25949.674285714285,22776.18,917.75,0.04371626392273083
26259.5,26349.74,25301.36,25746.57,1430.59858,25943.50285714286,22991.51,-513.630000000001,0.030370804721602654
25753.81,26017.99,25439.1,25735.12,719.56325,25995.149999999998,23206.754285714283,-11.450000000000728,0.02953560560877729
25728.93,26350.0,25682.17,26076.46,1094.07901,25938.295714285712,23436.856666666667,341.34000000000015,0.024298070844465985
26072.21,26133.52,24743.77,25267.76,1862.12772,25821.899999999998,23638.243333333332,-808.7000000000007,0.026412198028712135
25266.51,25435.37,24673.21,25189.56,1354.89122,25659.731428571427,23833.37285714286,-78.19999999999709,0.025763269444413924
25192.7,26517.0,25178.72,26188.76,1850.60349,25780.632857142857,24098.341904761903,999.1999999999971,0.026582114341297983
26191.24,26950.0,25514.65,25798.34,1849.15679,25714.652857142857,24404.102857142854,-390.41999999999825,0.02341226488382604
25798.64,26471.0,25383.03,26332.77,1384.9645,25798.395714285714,24752.945714285714,534.4300000000003,0.023412206584261127
26330.62,26633.95,26127.13,26315.71,494.04749,25881.33714285714,25097.948095238098,-17.06000000000131,0.02341797155486047
26319.67,26403.97,25828.0,26184.72,571.36554,25896.802857142855,25360.078095238096,-130.98999999999796,0.023154276077378962
26187.25,26349.0,25221.16,25662.56,1681.4023,25953.202857142856,25515.448571428573,-522.1599999999999,0.020884303725375985
25662.15,26182.85,25488.59,25795.05,1008.78663,26039.70142857143,25649.220476190476,132.48999999999796,0.02075488679550247
25798.36,26300.0,25595.29,25925.89,1116.75151,26002.14857142857,25787.27238095238,130.84000000000015,0.013623909202363045
25923.74,25942.55,25506.82,25788.01,948.61396,26000.672857142858,25888.333333333332,-137.88000000000102,0.012467695493157896
25787.54,25852.59,25551.15,25680.84,581.11544,25907.54,25883.14619047619,-107.16999999999825,0.008494000716003933
25680.84,25870.58,25609.28,25691.97,388.80034,25818.434285714287,25898.307142857146,11.130000000001019,0.008564974092205437
25692.02,26231.39,25560.82,26018.14,525.97833,25794.637142857147,25876.578571428574,326.16999999999825,0.010422137778929124
26019.14,27397.09,25945.02,27270.39,1085.63068,26024.327142857142,25933.143333333333,1252.25,0.01837703013850314
27276.26,28100.0,27212.54,27791.57,1371.89709,26309.544285714284,26002.99238095238,521.1800000000003,0.018663343116542924
27795.24,27944.28,27188.43,27321.99,1284.356,26508.987142857142,26097.25619047619,-469.5799999999981,0.02143819587669224
27320.57,27847.64,27298.8,27626.63,930.82357,26771.647142857142,26162.324285714283,304.6399999999994,0.020659110181141686
27630.2,28172.3,27463.0,27792.51,1287.41431,27073.31428571429,26259.75,165.87999999999738,0.019833750416971132
27792.5,27900.73,27594.57,27675.56,468.39631,27356.684285714287,26352.151904761908,-116.94999999999709,0.02033727661156238
27673.6,27829.05,27512.41,27710.94,521.80253,27598.512857142858,26429.984285714283,35.37999999999738,0.020620935506233246
27709.25,27716.77,26790.89,27005.15,1213.59335,27560.62142857143,26512.717142857146,-705.7899999999972,0.015639255356257563
27005.14,27882.56,26720.0,27774.93,1256.49619,27558.244285714285,26635.83,769.7799999999988,0.017918456232543685
27774.92,27799.95,26215.39,26413.32,1473.06479,27428.434285714287,26646.523333333334,-1361.6100000000006,0.025495359174531
26413.32,26627.23,25650.79,25838.38,1143.60874,27172.97,26648.43,-574.9399999999987,0.025153014516914745
25841.86,25962.3,24800.0,24902.06,1365.36607,26760.04857142857,26580.300952380956,-936.3199999999997,0.025940994228302747
24899.01,25458.15,24758.25,25381.46,871.88613,26432.32,26535.81285714286,479.3999999999978,0.02894985562306707
25381.79,25381.79,24924.0,25186.44,687.59348,26071.67714285714,26488.27571428571,-195.02000000000044,0.028462792364130286
25188.91,25574.14,24506.26,24974.82,1147.42213,25781.63,26455.526190476194,-211.61999999999898,0.027963552527338897
24975.52,25945.77,24725.0,25849.99,1090.39632,25506.63857142857,26458.14238095238,875.1700000000019,0.029557352632965685
25852.94,27265.92,24775.52,25807.91,2676.87734,25420.15142857143,26452.524285714288,-42.080000000001746,0.023986942191222795
25813.48,27181.04,25778.08,26775.19,2136.62413,25553.981428571427,26499.532857142854,967.2799999999988,0.02659698297475687
26782.12,26965.5,26274.91,26654.99,1112.77487,25804.399999999998,26545.92095238095,-120.19999999999709,0.020266187812020806
26656.0,26730.0,26333.48,26516.5,505.05277,25966.54857142857,26585.184285714284,-138.4900000000016,0.020498986999509985
26519.0,27180.0,26365.7,26612.67,696.70635,26170.295714285716,26613.495238095238,96.16999999999825,0.019626826941110603
26618.0,26711.0,25292.91,25690.29,1326.62043,26272.505714285715,26538.252380952377,-922.3799999999974,0.02505605244223155
25690.11,26327.0,25447.36,26130.78,1206.37132,26312.618571428575,26459.167142857143,440.48999999999796,0.02214129781462429
26132.71,26502.57,25533.13,26288.99,1399.56618,26381.344285714287,26409.976666666666,158.21000000000276,0.02213610453241493
26291.09,26621.77,26055.27,26250.84,835.42823,26306.437142857143,26344.462857142862,-38.150000000001455,0.016036076672881924
26252.97,27000.0,26238.4,26760.01,1138.85466,26321.440000000002,26295.29619047619,509.16999999999825,0.018013615709893453
26760.02,27055.99,25696.41,26139.15,928.10555,26267.532857142858,26222.133809523806,-620.859999999997,0.020154486883701726
26139.14,26445.99,25853.34,25882.0,837.63757,26163.15142857143,26135.04142857143,-257.15000000000146,0.02018497542510451
25882.03,26074.84,24877.01,25275.3,1608.66757,26103.86714285714,26052.66761904762,-606.7000000000007,0.01760649527444922
25275.92,25513.16,25023.51,25290.78,993.04844,25983.86714285714,25934.37476190476,15.479999999999563,0.01557149138676748
25290.2,25886.66,24512.0,25241.03,1332.39043,25834.15857142857,25878.551428571427,-49.75,0.014943282329708832
25241.01,25337.22,24555.0,24798.99,980.82967,25626.75142857143,25829.056666666664,-442.03999999999724,0.015408301569548503
24798.99,24888.14,23870.06,24733.21,1361.68546,25337.20857142857,25821.016190476188,-65.78000000000247,0.010274485060146337
24741.69,25041.22,24635.49,24806.63,511.79587,25146.84857142857,25793.643333333333,73.42000000000189,0.00991029304299471
24798.83,25179.38,24626.87,24894.0,487.24807,25005.705714285716,25779.717619047617,87.36999999999898,0.010624261109713753
24891.22,25513.33,24708.0,25069.0,838.94063,24976.234285714287,25784.20238095238,175.0,0.007952672731752462
25062.51,25172.0,24767.65,24931.99,702.6256,24924.97857142857,25740.488095238095,-137.0099999999984,0.008060150555237225
24930.81,25418.54,24585.98,25340.45,694.94767,24939.18142857143,25718.228095238097,408.4599999999991,0.010646053119105764
25340.99,25443.49,24557.0,24956.58,722.71902,24961.694285714282,25631.62761904762,-383.869999999999,0.00999271912722371
24956.57,25167.48,24683.08,24948.21,732.82696,24992.408571428572,25550.352380952383,-8.37000000000262,0.00989142927203684
24948.2,25190.0,24897.96,25129.45,307.65796,25038.52571428571,25484.30238095238,181.2400000000016,0.0101437816457229
25129.45,25282.74,24701.45,24772.0,583.93367,25021.097142857143,25396.65142857143,-357.4500000000007,0.011757965706799944
24772.0,25090.69,24581.05,24880.91,957.54571,24994.227142857144,25358.109523809526,108.90999999999985,0.01151112618206521
24881.67,25453.37,24825.29,25281.39,1098.79629,25044.14142857143,25317.66238095238,400.47999999999956,0.012921244030286449
25281.39,25285.6,24311.73,24551.0,1452.03006,24931.36285714286,25234.900952380955,-730.3899999999994,0.015609148159001435
24550.96,24868.88,24155.52,24717.78,1150.284,24897.248571428576,25161.898095238095,166.77999999999884,0.015292234082899403
24717.78,25185.97,24557.0,24981.7,1040.46259,24902.032857142854,25077.216666666667,263.9200000000019,0.015956635754934965
24979.12,25132.31,24830.22,25099.11,474.38429,24897.698571428573,25027.69095238095,117.40999999999985,0.015798772238214714
25101.66,26351.93,25022.02,26182.0,878.72552,25099.127142857145,25041.976666666666,1082.8899999999994,0.021189490106264957
26199.65,26526.7,25733.96,25940.95,706.84695,25250.56142857143,25073.67428571429,-241.04999999999927,0.02218926454182212
25942.0,26166.83,25750.0,25871.01,707.95505,25334.792857142857,25101.304285714286,-69.94000000000233,0.02192594184406867
25872.28,26004.06,25243.79,25514.83,960.58362,25472.48285714286,25114.342380952377,-356.17999999999665,0.018711602996105876
25516.9,25643.45,24848.09,24991.26,966.02695,25511.551428571427,25123.498095238094,-523.5700000000033,0.021128501450623272
24991.8,25549.99,24706.01,25504.45,764.675,25586.230000000003,25160.223809523814,513.1900000000023,0.02212668904486159
25503.87,25576.63,25194.73,25337.5,216.86069,25620.285714285714,25185.503333333338,-166.95000000000073,0.022403606777962253
25337.66,25699.98,25232.52,25404.89,274.13084,25509.269999999997,25209.831428571433,67.38999999999942,0.013226118552104654
25395.82,25419.46,23850.0,24159.46,1206.29969,25254.771428571432,25166.52,-1245.4300000000003,0.02162383604480394
24159.22,25650.77,23850.01,25536.98,1231.90697,25207.052857142855,25195.32904761905,1377.5200000000004,0.033474486111480184
25546.03,25666.4,24481.68,24678.18,955.36094,25087.531428571423,25163.79238095238,-858.7999999999993,0.03548137217644296
24678.13,24967.99,24535.36,24655.06,674.47352,25039.50285714286,25149.434285714284,-23.11999999999898,0.03474592393522678
24655.05,24935.71,24456.26,24707.95,627.809,24925.717142857142,25137.993333333332,52.88999999999942,0.033481711693324624
24709.65,24753.67,23935.45,24385.91,844.26719,24789.77571428571,25102.586666666662,-322.0400000000009,0.0336518587938478
24386.25,24593.73,24161.37,24333.55,453.99001,24636.727142857144,25081.708095238097,-52.36000000000058,0.033518965080935444
24335.76,24405.42,23970.0,24167.79,584.3506,24637.917142857146,25047.75,-165.7599999999984,0.027710988964599614
24169.22,24558.25,23943.97,24150.81,797.09216,24439.89285714286,24993.91285714286,-16.979999999999563,0.012408602191754643
24150.8,24253.35,23010.01,23374.13,953.90839,24253.600000000002,24937.871428571427,-776.6800000000003,0.011902147777049241
23372.72,23617.94,22866.73,23456.81,1068.95935,24082.42142857143,24877.82523809524,82.68000000000029,0.012431941595265502
23456.14,24306.92,23089.81,24160.0,1031.45178,24004.14285714286,24838.696666666667,703.1899999999987,0.01871616476783801
24156.9,24622.77,23999.6,24310.39,504.57009,23993.354285714286,24801.13857142857,150.38999999999942,0.01841680273590553
24310.4,24499.38,24091.58,24164.5,383.92827,23969.204285714288,24705.067142857144,-145.88999999999942,0.01853852538389413
24164.64,24872.54,24077.77,24671.56,936.96894,24041.17142857143,24644.620000000003,507.0600000000013,0.019969714246011256
24663.76,26069.99,24502.44,25976.25,1483.46999,24301.948571428573,24649.63142857143,1304.6899999999987,0.02721491899102381
25976.08,28130.37,25939.3,27349.45,1867.71888,24869.85142857143,24736.994285714285,1373.2000000000007,0.023589497124516273
27355.35,27808.07,26995.62,27342.01,1151.33281,25424.88,24848.934761904762,-7.440000000002328,0.024148580716703456
27342.01,28919.99,27281.34,28276.69,1224.88927,26012.97857142857,24980.946190476192,934.6800000000003,0.024419998764209798
28280.04,28362.47,27858.01,28111.41,449.71983,26555.981428571427,25113.037142857145,-165.27999999999884,0.026164145670390257
28108.28,28573.87,27844.52,28004.43,528.08943,27104.542857142857,25236.824761904765,-106.97999999999956,0.025793457451206966
28007.56,28173.48,27500.0,27805.57,808.9672,27552.25857142857,25410.449047619044,-198.86000000000058,0.027990574958329847
27804.77,28373.31,27732.69,28084.2,731.52771,27853.394285714287,25531.745238095238,278.630000000001,0.023264430423224684
28080.58,28100.89,27440.2,27652.9,831.44337,27896.744285714285,25673.39857142857,-431.2999999999993,0.01624824707634587
27650.19,28375.95,27640.29,28097.3,848.30808,28004.64285714286,25837.31476190476,444.3999999999978,0.017072680418572572
28096.23,28788.87,27150.0,27931.62,1686.80497,27955.347142857143,25990.82285714286,-165.6800000000003,0.010863486687675531
27930.8,28176.82,27788.74,28087.23,354.09066,27951.89285714286,26167.07619047619,155.61000000000058,0.010993996391536405
28089.22,28242.0,27672.22,28083.88,501.34492,27963.242857142857,26345.663333333338,-3.349999999998545,0.010872925649509785
28085.11,28811.0,28061.85,28615.64,921.39664,28078.967142857142,26557.465714285714,531.7599999999984,0.012226128414733391
28617.3,28774.62,28215.0,28364.46,752.73462,28119.00428571429,26758.115714285712,-251.1800000000003,0.012780071606606429
28364.47,28459.99,27795.31,28159.47,763.55827,28191.371428571427,26985.98904761904,-204.98999999999796,0.01127460472285282
28157.22,29000.0,27500.0,27533.75,1580.74667,28110.864285714284,27180.129047619044,-625.7200000000012,0.012856493087237297
27527.36,27955.15,27372.0,27764.85,1018.87781,28087.04,27351.788571428573,231.09999999999854,0.013409069870649964
27764.66,27801.14,27480.0,27724.3,301.71748,28035.192857142858,27514.355714285713,-40.54999999999927,0.013114314029689666
27722.38,27875.58,27527.86,27616.53,306.63337,27968.428571428572,27678.738095238095,-107.77000000000044,0.013111999428110999
